StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
str-7060dx4-leaf,Ethernet33,str-c3632-root,Fx0/2,10000,1601-1632,Trunk
lab-inno-01,Ethernet8,str-7060dx4-leaf,Ethernet2/1,400000,1602,Access
lab-inno-01,Ethernet184,str-7060dx4-leaf,Ethernet24/1,400000,1624,Access
lab-inno-01,Ethernet0,str-7060dx4-leaf,Ethernet1/1,400000,1601,Access
lab-inno-01,Ethernet248,str-7060dx4-leaf,Ethernet32/1,400000,1632,Access
lab-inno-01,Ethernet104,str-7060dx4-leaf,Ethernet14/1,400000,1614,Access
lab-inno-01,Ethernet240,str-7060dx4-leaf,Ethernet31/1,400000,1631,Access
lab-inno-01,Ethernet96,str-7060dx4-leaf,Ethernet13/1,400000,1613,Access
lab-inno-01,Ethernet168,str-7060dx4-leaf,Ethernet22/1,400000,1622,Access
lab-inno-01,Ethernet120,str-7060dx4-leaf,Ethernet16/1,400000,1616,Access
lab-inno-01,Ethernet144,str-7060dx4-leaf,Ethernet19/1,400000,1619,Access
lab-inno-01,Ethernet208,str-7060dx4-leaf,Ethernet27/1,400000,1627,Access
lab-inno-01,Ethernet160,str-7060dx4-leaf,Ethernet21/1,400000,1621,Access
lab-inno-01,Ethernet224,str-7060dx4-leaf,Ethernet29/1,400000,1629,Access
lab-inno-01,Ethernet56,str-7060dx4-leaf,Ethernet8/1,400000,1608,Access
lab-inno-01,Ethernet128,str-7060dx4-leaf,Ethernet17/1,400000,1617,Access
lab-inno-01,Ethernet72,str-7060dx4-leaf,Ethernet10/1,400000,1610,Access
lab-inno-01,Ethernet32,str-7060dx4-leaf,Ethernet5/1,400000,1605,Access
lab-inno-01,Ethernet16,str-7060dx4-leaf,Ethernet3/1,400000,1603,Access
lab-inno-01,Ethernet192,str-7060dx4-leaf,Ethernet25/1,400000,1625,Access
lab-inno-01,Ethernet200,str-7060dx4-leaf,Ethernet26/1,400000,1626,Access
lab-inno-01,Ethernet88,str-7060dx4-leaf,Ethernet12/1,400000,1612,Access
lab-inno-01,Ethernet80,str-7060dx4-leaf,Ethernet11/1,400000,1611,Access
lab-inno-01,Ethernet112,str-7060dx4-leaf,Ethernet15/1,400000,1615,Access
lab-inno-01,Ethernet152,str-7060dx4-leaf,Ethernet20/1,400000,1620,Access
lab-inno-01,Ethernet136,str-7060dx4-leaf,Ethernet18/1,400000,1618,Access
lab-inno-01,Ethernet48,str-7060dx4-leaf,Ethernet7/1,400000,1607,Access
lab-inno-01,Ethernet232,str-7060dx4-leaf,Ethernet30/1,400000,1630,Access
lab-inno-01,Ethernet216,str-7060dx4-leaf,Ethernet28/1,400000,1628,Access
lab-inno-01,Ethernet176,str-7060dx4-leaf,Ethernet23/1,400000,1623,Access
lab-inno-01,Ethernet40,str-7060dx4-leaf,Ethernet6/1,400000,1606,Access
lab-inno-01,Ethernet64,str-7060dx4-leaf,Ethernet9/1,400000,1609,Access
lab-inno-01,Ethernet24,str-7060dx4-leaf,Ethernet4/1,400000,1604,Access
str-c3632-root,Cx0/1,STR-ACS-SERV-01,enp134s0f0,10000,1601-1632,Trunk
